segment	mean_coverage	median_coverage	0x	1-25x	25-100x	100-1000x	1000x+	sample_id	total_coverage
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	c3-replicate-1	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	c3-replicate-1	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	c3-replicate-2	1765.0
mp	0.0	0.0	1027.0	0.0	0.0	0.0	0.0	c3-replicate-2	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	c3-replicate-2	1466.0
np	0.0	0.0	1565.0	0.0	0.0	0.0	0.0	c3-replicate-2	1565.0
ns	0.0775280898876404	0.0	821.0	69.0	0.0	0.0	0.0	c3-replicate-2	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	c3-replicate-2	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	c3-replicate-2	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	c3-replicate-2	2341.0
ha	1673.5614730878187	905.0	0.0	0.0	25.0	1080.0	660.0	c4-replicate-1	1765.0
mp	28718.306718597854	29102.0	0.0	0.0	0.0	0.0	1027.0	c4-replicate-1	1027.0
na	3222.087312414734	2957.5	0.0	0.0	0.0	77.0	1389.0	c4-replicate-1	1466.0
np	6121.109265175719	6388.0	0.0	0.0	0.0	19.0	1546.0	c4-replicate-1	1565.0
ns	47538.28876404494	44864.5	0.0	0.0	0.0	0.0	890.0	c4-replicate-1	890.0
pa	1325.2230183609497	1019.0	0.0	0.0	0.0	1110.0	1123.0	c4-replicate-1	2233.0
pb1	342.95557454079454	335.0	0.0	0.0	43.0	2298.0	0.0	c4-replicate-1	2341.0
pb2	957.3374626228108	945.0	0.0	4.0	30.0	1260.0	1047.0	c4-replicate-1	2341.0
ha	782.0198300283286	548.0	0.0	0.0	50.0	1131.0	584.0	c4-replicate-2	1765.0
mp	23868.07789678676	23209.0	0.0	0.0	0.0	0.0	1027.0	c4-replicate-2	1027.0
na	1178.162346521146	1138.0	0.0	0.0	6.0	369.0	1091.0	c4-replicate-2	1466.0
np	3821.6178913738017	4002.0	0.0	0.0	0.0	30.0	1535.0	c4-replicate-2	1565.0
ns	29581.555056179775	32800.5	0.0	0.0	0.0	0.0	890.0	c4-replicate-2	890.0
pa	670.9050604567846	530.0	0.0	0.0	6.0	1750.0	477.0	c4-replicate-2	2233.0
pb1	100.47287483981204	104.0	0.0	52.0	999.0	1290.0	0.0	c4-replicate-2	2341.0
pb2	567.0042716787698	470.0	0.0	0.0	10.0	2119.0	212.0	c4-replicate-2	2341.0
ha	1183.4317280453258	1060.0	0.0	0.0	18.0	703.0	1044.0	c5-replicate-1	1765.0
mp	35208.909444985395	35019.0	0.0	0.0	0.0	0.0	1027.0	c5-replicate-1	1027.0
na	1291.2592087312414	1367.5	0.0	0.0	1.0	355.0	1110.0	c5-replicate-1	1466.0
np	6218.4108626198085	6640.0	0.0	0.0	0.0	27.0	1538.0	c5-replicate-1	1565.0
ns	57551.38089887641	63095.0	0.0	0.0	0.0	0.0	890.0	c5-replicate-1	890.0
pa	1300.655172413793	1065.0	0.0	0.0	0.0	1029.0	1204.0	c5-replicate-1	2233.0
pb1	409.4929517300299	316.0	0.0	0.0	0.0	2308.0	33.0	c5-replicate-1	2341.0
pb2	1007.5023494233234	1068.0	0.0	0.0	16.0	937.0	1388.0	c5-replicate-1	2341.0
ha	809.4152974504249	654.0	0.0	0.0	33.0	1144.0	588.0	c5-replicate-2	1765.0
mp	26925.56183057449	27203.0	0.0	0.0	0.0	0.0	1027.0	c5-replicate-2	1027.0
na	522.487039563438	526.0	0.0	0.0	34.0	1432.0	0.0	c5-replicate-2	1466.0
np	4244.729712460064	4339.0	0.0	0.0	0.0	29.0	1536.0	c5-replicate-2	1565.0
ns	36634.43033707865	40797.0	0.0	0.0	0.0	0.0	890.0	c5-replicate-2	890.0
pa	463.8289296909987	347.0	0.0	0.0	0.0	2025.0	208.0	c5-replicate-2	2233.0
pb1	132.10209312259718	113.0	0.0	0.0	822.0	1519.0	0.0	c5-replicate-2	2341.0
pb2	393.0862879111491	417.0	0.0	2.0	49.0	2290.0	0.0	c5-replicate-2	2341.0
ha	1218.3745042492917	723.0	0.0	0.0	28.0	1091.0	646.0	c6-replicate-1	1765.0
mp	31294.82570593963	31069.0	0.0	0.0	0.0	0.0	1027.0	c6-replicate-1	1027.0
na	1178.643246930423	1166.5	0.0	0.0	4.0	527.0	935.0	c6-replicate-1	1466.0
np	5020.274760383387	5374.0	0.0	0.0	0.0	27.0	1538.0	c6-replicate-1	1565.0
ns	41102.7808988764	45131.5	0.0	0.0	0.0	0.0	890.0	c6-replicate-1	890.0
pa	2076.858038513211	658.0	0.0	0.0	0.0	1294.0	939.0	c6-replicate-1	2233.0
pb1	880.6766339171294	132.0	0.0	0.0	308.0	1547.0	486.0	c6-replicate-1	2341.0
pb2	2168.1452370781717	479.0	0.0	0.0	0.0	1569.0	772.0	c6-replicate-1	2341.0
ha	408.39943342776206	177.0	0.0	4.0	119.0	1486.0	156.0	c6-replicate-2	1765.0
mp	17280.937682570595	17032.0	0.0	0.0	0.0	0.0	1027.0	c6-replicate-2	1027.0
na	427.5020463847203	432.0	0.0	1.0	34.0	1431.0	0.0	c6-replicate-2	1466.0
np	1991.3635782747604	2077.0	0.0	0.0	1.0	48.0	1516.0	c6-replicate-2	1565.0
ns	22739.283146067417	24846.5	0.0	0.0	0.0	1.0	889.0	c6-replicate-2	890.0
pa	745.1352440662786	164.0	0.0	0.0	536.0	1200.0	497.0	c6-replicate-2	2233.0
pb1	335.3173857325929	34.0	0.0	719.0	1029.0	262.0	331.0	c6-replicate-2	2341.0
pb2	619.544639043144	117.0	0.0	0.0	763.0	965.0	613.0	c6-replicate-2	2341.0
ha	1726.4458923512748	1266.0	0.0	0.0	8.0	453.0	1304.0	c7-replicate-1	1765.0
mp	36414.2852969815	37423.0	0.0	0.0	0.0	0.0	1027.0	c7-replicate-1	1027.0
na	2147.4338335607094	2274.5	0.0	0.0	0.0	117.0	1349.0	c7-replicate-1	1466.0
np	6839.770607028754	7230.0	0.0	0.0	0.0	27.0	1538.0	c7-replicate-1	1565.0
ns	62468.48314606742	69564.0	0.0	0.0	0.0	0.0	890.0	c7-replicate-1	890.0
pa	1731.7084639498432	1125.0	0.0	0.0	0.0	971.0	1262.0	c7-replicate-1	2233.0
pb1	728.333190944041	306.0	0.0	0.0	0.0	1958.0	383.0	c7-replicate-1	2341.0
pb2	1262.6864587782998	1267.0	0.0	0.0	0.0	525.0	1816.0	c7-replicate-1	2341.0
ha	665.9473087818697	460.0	0.0	0.0	37.0	1201.0	527.0	c7-replicate-2	1765.0
mp	19809.70399221032	20295.0	0.0	0.0	0.0	0.0	1027.0	c7-replicate-2	1027.0
na	974.1657571623464	1006.5	0.0	0.0	11.0	715.0	740.0	c7-replicate-2	1466.0
np	2986.5808306709264	3077.0	0.0	0.0	0.0	33.0	1532.0	c7-replicate-2	1565.0
ns	30971.12584269663	34121.5	0.0	0.0	0.0	0.0	890.0	c7-replicate-2	890.0
pa	908.6721898790864	689.0	0.0	0.0	0.0	1443.0	790.0	c7-replicate-2	2233.0
pb1	316.7419906023067	219.0	0.0	0.0	0.0	2195.0	146.0	c7-replicate-2	2341.0
pb2	607.2439128577531	606.0	0.0	0.0	14.0	2240.0	87.0	c7-replicate-2	2341.0
ha	2354.8492917847025	0.0	1075.0	1.0	0.0	20.0	669.0	c8-replicate-1	1765.0
